Number,ISLAND,FID,timeYrs,Delta,Censorship,Area_ha_Cov1,Area_Cov1_LogTrans,Latitude_Cov2,Erad_Numb_Cov3,EradNumb_Cov2_logx+1
279,"VICTORY I., D'Urville I.",889,117,0,Right Censored,2.86868242,0.457682472,-47.251157,0,0
280,"WAEWAETOREA I., Bay of Islands",882,117,0,Right Censored,1.070486889,0.029581353,-47.251487,3,0.602059991
281,WAIHEKE I.,881,117,0,Right Censored,1.875731233,0.27317061,-47.249938,0,0
282,"WAIMATE I., W. Coromandel",506,117,0,Right Censored,1.029845815,0.012772208,-35.886381,1,0.301029996
283,"WALKER I., Rangaunu Hb.",8805,117,0,Right Censored,20.91203961,1.320396393,-34.907973,0,0
284,"WEDGE I. GP, Stewart I.: Pohowaitai",3814,117,0,Right Censored,15.97826745,1.203529686,-45.828418,0,0
285,"WEDGE I. GP, Stewart I.: Tamaitemio",1741,117,0,Right Censored,45.97521029,1.662523724,-46.834652,0,0
286,"WEKA I., S.E. Stewart I.",403,89,1,Uncensored,1550.700942,3.190528051,-36.766211,16,1.230448921
287,"WEKA I., Preservation Inlet",395,109,1,Uncensored,2323.55851,3.366153613,-36.787111,11,1.079181246
288,"WEKARUA I., W. Coromandel",388,117,0,Right Censored,3.912577208,0.592462921,-36.758737,0,0
289,WHALE (MOTUHORA) I.,4614,117,0,Right Censored,0.059422083,-1.22605213,-43.883445,3,0.602059991
290,"WHANGANUI I., W. Coromandel",306,117,0,Right Censored,2.318202094,0.365151294,-40.801035,1,0.301029996
291,"WHANGARA I., Whangara",263,117,0,Right Censored,27.89308108,1.445496489,-41.262471,0,0
292,"WHENUAKURA I., off Whangamata",101,117,0,Right Censored,2.027179801,0.30689227,-46.752479,2,0.477121255
293,WHITE I.,62,117,0,Right Censored,1.522962661,0.182689256,-47.211716,0,0
294,"WOMENS I., E. Stewart I.",50,117,0,Right Censored,7.260387623,0.860959808,-47.228371,0,0
295,Adams Island,736,117,1,Right Censored,9741.960382,3.988646359,-59.897656,0,0
296,Campbell Island/Motu Ihupuku,588,101,1,Uncensored,10891.0171,4.03706844,-52.540444,3,0.602059991
297,Enderby Island,778,92,1,Uncensored,0.036598,-1.436542647,-50.495416,3,0.602059991
298,Ewing Island,2122,117,0,Right Censored,58.52200082,1.767319166,-50.528809,0,0
299,Fisherman Island,5313,107,1,Uncensored,5.099147507,0.707497575,-40.99308,1,0.301029996
300,Hokoromea Island,7299,90,1,Uncensored,11.96557887,1.077933714,-35.910963,1,0.301029996
301,Hokoromea Island A (Unnamed),7296,90,1,Uncensored,1.298804837,0.113543897,-35.910588,1,0.301029996
302,Hokoromea Island B (Unnamed),7301,90,1,Uncensored,1.019105383,0.008219096,-35.908316,1,0.301029996
303,Lizard Isle,7298,78,1,Uncensored,1.26296735,0.101392123,-35.909375,1,0.301029996
304,Macauley Island,16,106,1,Uncensored,247.406153,2.393410496,-30.23293,3,0.602059991
305,Manawat?whi/Great Island,584,46,1,Uncensored,402.3797469,2.604636113,-34.16168,1,0.301029996
306,Mangere,638,117,0,Right Censored,121.81536,2.085702053,-44.268735,3,0.602059991
307,Maria Island (Ruapuke Island),412,60,1,Uncensored,1.346906416,0.129337422,-36.709044,1,0.301029996
308,Mokoia,33,101,1,Uncensored,4.146892731,0.617722802,-38.08193,2,0.477121255
309,Mokopuna Island,5085,90,1,Uncensored,0.487153663,-0.312334027,-41.2513,2,0.477121255
310,Motungarara Island,5178,96,1,Uncensored,3.744271574,0.573367341,-40.886579,0,0
311,Motupapa Island,7302,109,1,Uncensored,1.726611635,0.237194663,-35.907665,1,0.301029996
312,Moutohora Island,5969,87,1,Uncensored,171.1032962,2.233258376,-37.857111,4,0.698970004
313,North East Island,45,117,0,Right Censored,283.1192439,2.45196939,-48.024603,0,0
314,Ocean Island,2947,42,1,Uncensored,0.059679,-1.224178463,-50.526094,1,0.301029996
315,Pomona,258,107,1,Uncensored,1.915025484,0.282174558,-45.509094,4,0.698970004
316,Pukeweka Island,937,106,1,Uncensored,3.302174521,0.518800022,-47.224907,2,0.477121255
317,Raoul Island,15,106,1,Uncensored,2965.02436,3.472028266,-29.271264,6,0.84509804
318,Rona,32,107,1,Uncensored,0.436720528,-0.359796394,-45.493523,1,0.301029996
319,Rose Island,802,92,1,Uncensored,80.141153,1.903855586,-50.511944,2,0.477121255
320,South East,626,16,1,Uncensored,248.539729,2.39539582,-44.34527,2,0.477121255
321,Stack B,7304,90,1,Uncensored,0.497944906,-0.302818706,-35.906637,1,0.301029996
322,Stack E,7277,90,1,Uncensored,0.128263939,-0.891895428,-35.911611,1,0.301029996
323,Stack F,7273,90,1,Uncensored,0.384955061,-0.414589966,-35.912045,1,0.301029996
324,Stack G,7291,90,1,Uncensored,0.505385418,-0.296377293,-35.913925,1,0.301029996
325,Stack I,7285,90,1,Uncensored,0.278610397,-0.55500268,-35.916677,1,0.301029996
326,Stack J,7289,90,1,Uncensored,0.278535852,-0.555118896,-35.915985,1,0.301029996
327,Tahoramaurea Island (Browns Island),5432,96,1,Uncensored,1.864999591,0.270678741,-40.889347,1,0.301029996
328,Waewaetorea Island,8016,109,1,Uncensored,51.20476006,1.709310335,-35.204513,4,0.698970004
329,Whenuakura Island,6087,84,1,Uncensored,3.092948045,0.490372625,-37.2199,2,0.477121255
330,Awaiti (Tawhitinui),5251,117,0,Right Censored,3.448018222,0.537569552,-41.053611,3,0.602059991
331,Battleship Rock,7939,117,0,Right Censored,2.274764703,0.356936481,-35.208762,2,0.477121255
